dateHour;gpsSpeed;gpsSatCount;Gear;Brake_pedal;Accel_pedal;Machine_Speed_Mesured;AST_Direction;Ast_HPMB1_Pressure_bar;Ast_HPMA_Pressure_bar;Pressure_HighPressureReturn;Pressure_HighPressure;Oil_Temperature;Ast_FrontAxleSpeed_Rpm;Pump_Speed
2018-01-22 03:57:0.309768;0.15;15.0;125.0;125.0;0.0;20.0;20.0;0.0;0.0;0.0;32767.0;255.0;32767.0;645.0
2018-01-22 03:57:0.445774;0.15;15.0;125.0;125.0;0.0;20.0;20.0;0.0;0.0;0.0;32767.0;255.0;32767.0;645.0
2018-01-22 03:57:0.545774;0.14;14.0;125.0;125.0;0.0;20.0;20.0;0.0;0.0;0.0;32767.0;255.0;32767.0;645.0
2018-01-22 03:57:2.395801;0.25;25.0;125.0;125.0;0.0;20.0;20.0;0.0;0.0;0.0;32767.0;255.0;32767.0;646.0
2018-01-22 03:57:2.495801;0.3;30.0;125.0;125.0;0.0;20.0;20.0;0.0;0.0;0.0;32767.0;255.0;32767.0;649.0
2018-01-22 03:57:2.595842;0.28;28.0;125.0;125.0;0.0;20.0;20.0;0.0;0.0;0.0;32767.0;255.0;32767.0;648.0
2018-01-22 03:57:2.698735;0.14;14.0;125.0;125.0;0.0;20.0;20.0;0.0;0.0;0.0;32767.0;255.0;32767.0;648.0
2018-01-22 03:57:2.799222;0.15;15.0;125.0;125.0;0.0;20.0;20.0;0.0;0.0;0.0;32767.0;255.0;32767.0;646.0
2018-01-22 03:57:3.19976;0.02;2.0;125.0;125.0;0.0;20.0;20.0;0.0;0.0;0.0;32767.0;255.0;32767.0;646.0
2018-01-22 03:57:3.300719;0.2;20.0;125.0;125.0;0.0;20.0;20.0;0.0;0.0;0.0;32767.0;255.0;32767.0;646.0
2018-01-22 03:57:3.400714;0.12;12.0;125.0;125.0;0.0;20.0;20.0;0.0;0.0;0.0;32767.0;255.0;32767.0;645.0
2018-01-22 03:57:3.500768;0.14;14.0;125.0;125.0;0.0;20.0;20.0;0.0;0.0;0.0;32767.0;255.0;32767.0;648.0
2018-01-22 03:57:3.601232;0.04;4.0;125.0;125.0;0.0;20.0;20.0;0.0;0.0;0.0;32767.0;255.0;32767.0;646.0
2018-01-22 03:57:3.745829;0.17;17.0;125.0;125.0;0.0;20.0;20.0;0.0;0.0;0.0;32767.0;255.0;32767.0;648.0
2018-01-22 03:57:3.845828;0.15;15.0;125.0;125.0;0.0;20.0;20.0;0.0;0.0;0.0;32767.0;255.0;32767.0;645.0
2018-01-22 03:57:3.945885;0.11;11.0;125.0;125.0;0.0;20.0;20.0;0.0;0.0;0.0;32767.0;255.0;32767.0;649.0
2018-01-22 03:57:4.048778;0.08;8.0;125.0;125.0;0.0;20.0;20.0;0.0;0.0;0.0;32767.0;255.0;32767.0;648.0
2018-01-22 03:57:4.148776;0.09;9.0;125.0;125.0;0.0;20.0;20.0;0.0;0.0;0.0;32767.0;255.0;32767.0;648.0
2018-01-22 03:57:4.248811;0.1;10.0;125.0;125.0;0.0;20.0;20.0;0.0;0.0;0.0;32767.0;255.0;32767.0;646.0
2018-01-22 03:57:4.349266;0.03;3.0;125.0;125.0;0.0;20.0;20.0;0.0;0.0;0.0;32767.0;255.0;32767.0;646.0
2018-01-22 03:57:4.449276;0.17;17.0;125.0;125.0;0.0;20.0;20.0;0.0;0.0;0.0;32767.0;255.0;32767.0;646.0
